OPT or BUB,,,MIP,,,,Primal Dual,,,,Greedy,,,,Local Search,,,,,,,,,,,,,,,,Randomized Rounding,,,,Trivial,,,
Input file name,Solution cost,,Cost / BUB,%,Time Spent,,Cost / BUB,%,Time Spent,,Cost / BUB,%,Time Spent,,LS_G / BUB,%,Time Spent (G + LS_G),,LS_PD / BUB,%,Time Spent (PD + LS_LD),,LS_T / BUB,%,Time Spent (T + LS_T),,LS_RR / BUB,%,Time Spent (RR + LP + Dual + LS_RR),,Cost / BUB,%,Time Spent (RR + LP + Dual),,Cost / BUB,%,Time Spent,
ga250c-4,332423,,1,0.00%,902.61,,1.15169227159372,15.17%,5.06,,1.00035496942149,0.04%,2.19,,1,0.00%,3.97,,1.00220502191485,0.22%,6.87,,1.00220502191485,0.22%,1.91,,1.00223029092451,0.22%,9.41,,1.1731549862675,17.32%,6.24,,1.1518065837803,15.18%,0.04,
ga250c-5,333538,,1.0012172526069,0.12%,902.54,,1.14125526926467,14.13%,5.10,,1.00591536796407,0.59%,1.99,,1.0018708512973,0.19%,3.13,,1.00249147023727,0.25%,6.05,,1.00249147023727,0.25%,1.00,,1.00253044630597,0.25%,7.90,,1.18079319297951,18.08%,6.07,,1.21150813400572,21.15%,0.04,
ga500a-1,511383,,1.00049278134001,0.05%,910.74,,1.05496271874505,5.50%,4.01,,1.00053189097017,0.05%,21.31,,1.00005084251921,0.01%,281.73,,1.00052406904414,0.05%,228.95,,1.00031287704128,0.03%,260.79,,1.00063181607523,0.06%,275.40,,1.00909905100482,0.91%,23.28,,1.47915554486559,47.92%,0.17,
ga500a-2,511255,,1.00054375996323,0.05%,910.29,,1.06192213279088,6.19%,4.03,,1.00071197347703,0.07%,19.13,,1.00048899277269,0.05%,136.28,,1.00087431907756,0.09%,187.65,,1.00037163450724,0.04%,147.99,,1.00071901497296,0.07%,263.74,,1.00829057906524,0.83%,23.41,,1.46501452308535,46.50%,0.17,
ga500a-3,510810,,1.0002916935847,0.03%,911.58,,1.04812748380024,4.81%,3.88,,1.00090248820501,0.09%,20.90,,1.00029952428496,0.03%,180.17,,1.00110804408684,0.11%,185.40,,1.0006225406707,0.06%,181.16,,1.00051036588947,0.05%,232.82,,1.0087940721599,0.88%,21.64,,1.46631624283002,46.63%,0.17,
ga500a-4,511008,,1.00031506356065,0.03%,911.34,,1.04161382992047,4.16%,3.82,,1.00036985722337,0.04%,18.93,,1.00019373473605,0.02%,126.80,,1.00013502724028,0.01%,189.27,,1.00033267580938,0.03%,142.86,,1.00048140146534,0.05%,238.45,,1.00707327478239,0.71%,21.65,,1.48202572171081,48.20%,0.17,
ga500a-5,511226,,1.00106215255093,0.11%,911.57,,1.04187189227465,4.19%,4.00,,1.00058682461377,0.06%,21.33,,1.0000254290666,0.00%,192.72,,1.00041664547578,0.04%,317.68,,1.00082351054133,0.08%,91.09,,1.00056921987536,0.06%,259.69,,1.00822591182765,0.82%,29.86,,1.45363889943,45.36%,0.17,
ga500b-1,538060,,1.00194773817046,0.19%,911.63,,1.14737575735048,14.74%,5.98,,1.0004887930714,0.05%,15.65,,1,0.00%,51.91,,1.00081775266699,0.08%,82.95,,1.00183250938557,0.18%,54.06,,1.00101531427722,0.10%,98.78,,1.04462216109728,4.46%,34.81,,1.40800096643497,40.80%,0.17,
ga500b-2,537850,,1.00112298968114,0.11%,911.56,,1.22902110253788,22.90%,6.00,,1.00248396393046,0.25%,16.64,,1.0004629543553,0.05%,68.75,,1.00010597750302,0.01%,137.98,,1.00200241703077,0.20%,37.23,,1.00146007251092,0.15%,103.45,,1.0436404201915,4.36%,41.45,,1.39526633819838,39.53%,0.17,
ga500b-3,537921,,1.00190362525352,0.19%,919.37,,1.23515163007207,23.52%,5.96,,1.00229587616025,0.23%,18.35,,1.00196683156077,0.20%,81.20,,1.00148534822028,0.15%,88.01,,1.00158945272633,0.16%,45.40,,1.00156193939259,0.16%,127.81,,1.04529401157419,4.53%,50.44,,1.39518070497341,39.52%,0.17,
ga500b-4,537925,,1.00270669703026,0.27%,911.52,,1.24172514755775,24.17%,5.95,,1.00119533392202,0.12%,17.72,,1.00067295626714,0.07%,49.81,,1.00188130315564,0.19%,30.91,,1.00189431612214,0.19%,36.02,,1.00132639308454,0.13%,116.25,,1.04368527211042,4.37%,34.52,,1.41055537481991,41.06%,0.17,
ga500b-5,537482,,1.00160191411061,0.16%,911.36,,1.23174357466855,23.17%,5.94,,1.0011925980777,0.12%,17.24,,1.00050978451371,0.05%,74.76,,1.0016595904607,0.17%,34.19,,1.00225309870842,0.23%,32.91,,1.00091482133355,0.09%,94.55,,1.03960151223669,3.96%,35.10,,1.38536174234672,38.54%,0.16,
ga500c-1,621360,,1.00799375563281,0.80%,911.48,,1.21454873181409,21.45%,15.15,,1.00253637182954,0.25%,17.60,,1.00037498390627,0.04%,43.94,,1.00091734260332,0.09%,28.18,,1.00169145101069,0.17%,9.82,,1.00260782799022,0.26%,79.91,,1.1682971224411,16.83%,48.71,,1.23813731170336,23.81%,0.17,
ga500c-2,621464,,1.01379806392647,1.38%,911.93,,1.22705096353127,22.71%,15.13,,1.00237503700938,0.24%,17.32,,1.00187299666594,0.19%,42.48,,1.00217389905127,0.22%,54.90,,1.00194540633086,0.19%,11.94,,1.00258180683032,0.26%,70.28,,1.1720358701389,17.20%,34.54,,1.23084201176577,23.08%,0.17,
ga500c-3,621428,,1.00934943388454,0.93%,909.90,,1.20001351725381,20.00%,15.12,,1.00187471436755,0.19%,17.46,,1.00010137940357,0.01%,37.47,,1.00178299014528,0.18%,26.83,,1.00215954221567,0.22%,15.35,,1.0018085763757,0.18%,65.15,,1.17320107880559,17.32%,36.72,,1.23164710956056,23.16%,0.17,
ga500c-4,621754,,1.01473573149509,1.47%,911.35,,1.21100145716795,21.10%,15.25,,1.00058383219087,0.06%,18.44,,1.00058383219087,0.06%,29.09,,1.00046320570515,0.05%,28.46,,1.00046320570515,0.05%,13.32,,1.00339105176645,0.34%,57.51,,1.17830637197348,17.83%,34.43,,1.24362529231818,24.36%,0.17,
ga500c-5,621313,,1.01390925346806,1.39%,911.43,,1.20496915403347,20.50%,14.92,,1.00169318845735,0.17%,18.46,,1.00116044570128,0.12%,48.26,,1.00205210578243,0.21%,36.77,,1.00205210578243,0.21%,22.12,,1.0025069489935,0.25%,58.45,,1.16898197848749,16.90%,31.39,,1.22208130201686,22.21%,0.17,
ga750a-1,763520,,1.00042173093043,0.04%,925.18,,1.04453452430847,4.45%,9.34,,1.00049507544007,0.05%,77.58,,1.00006679589271,0.01%,755.50,,1.00040994341995,0.04%,700.81,,1.00042827954736,0.04%,1055.76,,1.00045945096396,0.05%,907.36,,1.00789750104778,0.79%,63.26,,1.49520510268231,49.52%,0.38,
ga750a-2,763623,,1.00070977432581,0.07%,925.13,,1.0450117400864,4.50%,9.45,,1.00055262871862,0.06%,82.57,,1.00024750433133,0.02%,548.24,,1.00058012919988,0.06%,667.26,,1.00067703565765,0.07%,337.91,,1.00038592342033,0.04%,1051.37,,1.00744411836731,0.74%,55.43,,1.46136640724546,46.14%,0.38,
ga750a-3,763684,,1.00034438327895,0.03%,925.05,,1.04372489144725,4.37%,9.36,,1.00037450044783,0.04%,74.45,,1.00011784979127,0.01%,916.42,,1.00042294980646,0.04%,526.90,,1.00019641631879,0.02%,590.17,,1.00059631994385,0.06%,900.86,,1.00772858931181,0.77%,71.22,,1.4655970270426,46.56%,0.38,
ga750a-4,763941,,1.00061523075735,0.06%,929.17,,1.05903073666684,5.90%,9.26,,1.00026965433194,0.03%,75.91,,1.00003534304351,0.00%,712.46,,1.00058905072512,0.06%,351.64,,1.00029452536256,0.03%,587.54,,1.00049087560427,0.05%,872.64,,1.00805035990999,0.81%,63.61,,1.47408896760352,47.41%,0.37,
ga750a-5,763786,,1.00143102911025,0.14%,928.37,,1.06386212892093,6.39%,9.50,,1.00056560345437,0.06%,81.91,,1.00020817349362,0.02%,1280.59,,1.0005852424632,0.06%,541.13,,1.00043074892706,0.04%,935.43,,1.00061797414459,0.06%,1001.82,,1.00807333467751,0.81%,72.62,,1.47145535529586,47.15%,0.38,
ga750b-1,796454,,1.00967287501852,0.97%,925.20,,1.25616670893736,25.62%,12.21,,1.0009366517087,0.09%,70.65,,1.0009366517087,0.09%,207.15,,1.00116516459205,0.12%,158.99,,1.00125682085846,0.13%,144.75,,1.00098988767713,0.10%,430.91,,1.0364280925201,3.64%,139.70,,1.43485122806841,43.49%,0.38,
ga750b-2,795963,,1.01009217765147,1.01%,925.31,,1.17182582607483,17.18%,12.06,,1.00111186072719,0.11%,69.90,,1.00050127958209,0.05%,290.22,,1.00195989009539,0.20%,183.27,,1.0014309710376,0.14%,216.07,,1.00105344092627,0.11%,358.15,,1.03582490643409,3.58%,103.09,,1.40312175314682,40.31%,0.38,
ga750b-3,796130,,1.01070176981146,1.07%,925.22,,1.254399407132,25.44%,12.06,,1.00153869342947,0.15%,61.47,,1.00048610151608,0.05%,298.19,,1.00135405021793,0.14%,175.02,,1.001541205582,0.15%,137.29,,1.00096215442202,0.10%,328.91,,1.03752314320526,3.75%,88.54,,1.40762689510507,40.76%,0.38,
ga750b-4,797013,,1.00197738305398,0.20%,921.93,,1.24398723734745,24.40%,12.00,,1.0011129053102,0.11%,67.81,,1.00004014990973,0.00%,644.96,,1.0007678670235,0.08%,366.41,,1.00052194882643,0.05%,351.93,,1.00100299493233,0.10%,459.03,,1.03841041488658,3.84%,156.13,,1.41481882980579,41.48%,0.38,
ga750b-5,796312,,1.00238474366831,0.24%,921.96,,1.24724605431037,24.72%,12.40,,1.00030515677272,0.03%,62.27,,1.00028255256734,0.03%,337.95,,1.00132611338269,0.13%,233.09,,1.00105235133968,0.11%,149.40,,1.0009137122133,0.09%,496.70,,1.03779109193381,3.78%,99.56,,1.41353765860617,41.35%,0.39,
ga750c-1,902026,,6.98204597206732,598.20%,922.28,,1.26125189296096,26.13%,29.10,,1.00248551593856,0.25%,63.76,,1.00089354408853,0.09%,117.82,,1.00135583674972,0.14%,163.76,,1.00135583674972,0.14%,135.81,,1.00174739974236,0.17%,208.16,,1.16336746390902,16.34%,113.69,,1.27993317265799,27.99%,0.38,
ga750c-2,899651,,6.89393998339356,589.39%,922.37,,1.25639164520464,25.64%,30.21,,1.00105707657747,0.11%,63.09,,1.00071583313974,0.07%,173.53,,1.000788083379,0.08%,125.32,,1.00071583313974,0.07%,112.41,,1.00120769053778,0.12%,259.35,,1.1567478944613,15.67%,116.79,,1.25141415949074,25.14%,0.38,
ga750c-3,900010,,7.2033399628893,620.33%,922.18,,1.25448939456228,25.45%,30.43,,1.00039555116054,0.04%,61.54,,1.00039555116054,0.04%,117.64,,1.00139665114832,0.14%,101.96,,1.00139665114832,0.14%,65.86,,1.00060399328896,0.06%,208.20,,1.16330162998189,16.33%,102.20,,1.26072376973589,26.07%,0.38,
ga750c-4,900044,,7.32006657452302,632.01%,921.97,,1.24982556408353,24.98%,29.91,,1.0005999706681,0.06%,68.11,,1.00050886401109,0.05%,150.45,,1.00237321730938,0.24%,106.11,,1.0005999706681,0.06%,86.80,,1.00143215220589,0.14%,241.75,,1.15150114883272,15.15%,110.98,,1.2696490393803,26.96%,0.38,
ga750c-5,899235,,7.0473925058522,604.74%,922.51,,1.26935895511185,26.94%,29.86,,1.00204729575695,0.20%,61.04,,1.00166808453852,0.17%,115.28,,1,0.00%,144.23,,1.00334506552792,0.33%,76.03,,1.00160158356826,0.16%,244.12,,1.16505807714335,16.51%,97.57,,1.27110599565186,27.11%,0.38,
gs250a-1,257964,,1.0000077530198,0.00%,903.34,,1.03657487091222,3.66%,1.03,,1.00069389527221,0.07%,2.80,,1.00050782279698,0.05%,15.02,,1.00014730737622,0.01%,15.65,,1,0.00%,19.19,,1.00079507218061,0.08%,21.44,,1.00884348203625,0.88%,4.28,,1.45633886898947,45.63%,0.04,
gs250a-2,257573,,1,0.00%,902.53,,1.05605401187236,5.61%,0.98,,1.00059012396486,0.06%,2.67,,1.00016694296374,0.02%,11.31,,1.00052024086376,0.05%,10.67,,1.00109095285608,0.11%,11.54,,1.00050160537013,0.05%,19.80,,1.00915662744154,0.92%,4.58,,1.45603382342093,45.60%,0.04,
gs250a-3,257626,,1,0.00%,902.43,,1.03418133262947,3.42%,1.02,,1.00086947745957,0.09%,2.48,,1.00051237064582,0.05%,13.42,,1.0004657914962,0.05%,11.26,,1.00038427798436,0.04%,18.79,,1.00064667386056,0.06%,20.84,,1.00799919262807,0.80%,4.31,,1.45635921840187,45.64%,0.04,
gs250a-4,257961,,1,0.00%,902.44,,1.06213729982439,6.21%,1.03,,1.00053496458767,0.05%,2.60,,1.00051170525777,0.05%,12.51,,1.00059311291242,0.06%,19.57,,1.00067839712205,0.07%,14.87,,1.00057217951551,0.06%,24.90,,1.00948670535469,0.95%,4.23,,1.45563088994073,45.56%,0.04,
gs250a-5,257896,,1.00001938766014,0.00%,902.68,,1.04384325464528,4.38%,1.01,,1.00077550640568,0.08%,2.61,,1.00013183608897,0.01%,10.74,,1.00102754598753,0.10%,12.73,,1.00045754877935,0.05%,27.31,,1.00090850575426,0.09%,23.75,,1.00885279337407,0.89%,4.13,,1.45638939727642,45.64%,0.04,
gs250b-1,276761,,1.00054198387779,0.05%,902.77,,1.18933303464,18.93%,1.89,,1.00036132258519,0.04%,2.24,,1.00032157710082,0.03%,5.37,,1.00196920808929,0.20%,5.43,,1.00191500970151,0.19%,3.65,,1.00183551873277,0.18%,12.34,,1.05271624253417,5.27%,5.92,,1.36166945487262,36.17%,0.04,
gs250b-2,275675,,1.00004352951845,0.00%,902.69,,1.20289471297724,20.29%,1.87,,1.00184637707445,0.18%,2.22,,1.00138206221094,0.14%,6.36,,1.00082343339077,0.08%,10.47,,1.00305794867144,0.31%,4.90,,1.00208832864786,0.21%,11.58,,1.0436535775823,4.37%,5.59,,1.36506030652036,36.51%,0.04,
gs250b-3,275710,,1,0.00%,902.68,,1.21767074099597,21.77%,1.82,,1.00223785861956,0.22%,2.17,,1.00154147473795,0.15%,6.53,,1.00117877479961,0.12%,8.22,,1.00363425338218,0.36%,4.71,,1.00123100359073,0.12%,12.20,,1.05620035544594,5.62%,5.79,,1.36490878096551,36.49%,0.04,
gs250b-4,276114,,1,0.00%,902.67,,1.21498366616687,21.50%,1.87,,1.00258951012987,0.26%,1.89,,1.00197744409918,0.20%,5.79,,1.00119878021397,0.12%,5.85,,1.00078590727019,0.08%,4.24,,1.00050631261001,0.05%,13.30,,1.05061496338469,5.06%,7.01,,1.36587061865751,36.59%,0.04,
gs250b-5,275916,,1,0.00%,902.68,,1.34630104814509,34.63%,1.88,,1.00184476434857,0.18%,2.09,,1.00164542831876,0.16%,6.25,,1.00048927934589,0.05%,4.18,,1.00048927934589,0.05%,2.35,,1.00231447252062,0.23%,12.07,,1.04370061902898,4.37%,6.01,,1.36716246973717,36.72%,0.04,
gs250c-1,332935,,1,0.00%,902.67,,1.12381095409014,12.38%,5.13,,1,0.00%,2.35,,1,0.00%,3.48,,1,0.00%,8.02,,1.00019823689309,0.02%,1.96,,1.00094583026717,0.09%,8.70,,1.15804676588523,15.80%,6.74,,1.16718578701548,16.72%,0.04,
gs250c-2,334630,,1.00150315273586,0.15%,902.47,,1.13798822580163,13.80%,5.48,,1.00047814003526,0.05%,2.38,,1,0.00%,5.06,,1.00180497863312,0.18%,8.93,,1.00233093267191,0.23%,7.52,,1.00186624032514,0.19%,10.36,,1.20761318471147,20.76%,6.60,,1.16275289125303,16.28%,0.04,
gs250c-3,333000,,1.00095495495495,0.10%,902.44,,1.14472072072072,14.47%,5.37,,1.00038438438438,0.04%,2.07,,1,0.00%,4.05,,1.00195795795796,0.20%,9.85,,1.00267567567568,0.27%,5.55,,1.00388438438438,0.39%,9.32,,1.17303813813814,17.30%,6.63,,1.1638048048048,16.38%,0.04,
gs250c-4,333158,,1,0.00%,902.55,,1.14368257703552,14.37%,5.47,,1,0.00%,1.84,,1,0.00%,3.20,,1.00447235245739,0.45%,7.79,,1.0043252750947,0.43%,4.16,,1.0062036631268,0.62%,9.17,,1.18096158579413,18.10%,6.34,,1.18124433451996,18.12%,0.04,
gs250c-5,334635,,1.00095327745155,0.10%,902.47,,1.14843336769913,14.84%,5.49,,1.00176610336635,0.18%,2.27,,1.00115349559968,0.12%,4.07,,1.00092339414586,0.09%,7.75,,1.00312280544474,0.31%,2.34,,1.0028810495017,0.29%,8.93,,1.19568993082015,19.57%,6.48,,1.1758303823569,17.58%,0.04,
gs500a-1,511187,,1.00094681594015,0.09%,909.70,,1.0639374631984,6.39%,4.32,,1.00058295692183,0.06%,20.03,,1.0004499331947,0.04%,113.76,,1.0003032158486,0.03%,338.54,,1.00035994655576,0.04%,294.96,,1.00057376263481,0.06%,256.77,,1.00787128780661,0.79%,20.57,,1.47972268465356,47.97%,0.17,
gs500a-2,511179,,1.00023083890379,0.02%,909.70,,1.04090152373239,4.09%,4.28,,1.00087640532964,0.09%,22.73,,1.00031104564155,0.03%,130.64,,1.00037951480792,0.04%,191.92,,1.00098791225774,0.10%,134.94,,1.00070797118035,0.07%,241.33,,1.00843403191446,0.84%,22.96,,1.47899463788614,47.90%,0.17,
gs500a-3,511106,,1.00091761787183,0.09%,909.69,,1.04720742859603,4.72%,4.17,,1.00044022179352,0.04%,21.12,,1.00026217653481,0.03%,151.75,,1.00071022449355,0.07%,102.43,,1.00051457036309,0.05%,343.04,,1.00065289783333,0.07%,214.03,,1.00871286973739,0.87%,22.47,,1.49110165014694,49.11%,0.17,
gs500a-4,511137,,1.0007023557285,0.07%,909.72,,1.05328903992472,5.33%,4.32,,1.00084713100402,0.08%,19.65,,1.0004558464756,0.05%,302.08,,1.00030520193216,0.03%,244.26,,1.00076887409833,0.08%,104.23,,1.00061314285602,0.06%,234.47,,1.00881485785611,0.88%,20.82,,1.4750370252985,47.50%,0.17,
gs500a-5,511293,,1.00090163565705,0.09%,909.76,,1.05749736452484,5.75%,4.20,,1.00044788408994,0.04%,19.27,,1.00023078743499,0.02%,160.94,,1.00072952299367,0.07%,102.99,,1.00055349867884,0.06%,182.45,,1.00065970001545,0.07%,212.76,,1.00873217509334,0.87%,21.12,,1.46268382316988,46.27%,0.17,
gs500b-1,537931,,1.00124923084931,0.12%,911.76,,1.22525937341406,22.53%,6.52,,1.00139980778204,0.14%,17.59,,1.00103916673328,0.10%,61.07,,1.00127897444096,0.13%,58.41,,1.00127897444096,0.13%,52.33,,1.00175821806142,0.18%,98.08,,1.04354982330448,4.35%,33.96,,1.40833861591914,40.83%,0.17,
gs500b-2,537763,,1.00192463966469,0.19%,909.87,,1.38520872577697,38.52%,6.42,,1.00126077844701,0.13%,17.35,,1.00054299012762,0.05%,111.61,,1.00097998560704,0.10%,55.01,,1.00068245676999,0.07%,46.25,,1.00143985361581,0.14%,118.90,,1.04333154196179,4.33%,38.96,,1.40792133337548,40.79%,0.17,
gs500b-3,537854,,1.00309377637798,0.31%,911.05,,1.23715729547424,23.72%,6.10,,1.0018648183336,0.19%,17.59,,1.00022496811402,0.02%,87.68,,1.00168633123487,0.17%,37.75,,1.00054847598047,0.05%,40.72,,1.00154651634087,0.15%,119.39,,1.04293302643468,4.29%,34.68,,1.419368453149,41.94%,0.17,
gs500b-4,537742,,1.00090377913572,0.09%,911.00,,1.23980087104969,23.98%,6.20,,1.00223155342153,0.22%,17.36,,1.00082567476597,0.08%,75.53,,1.00026592678273,0.03%,80.96,,1.00015992799521,0.02%,101.17,,1.001518014215,0.15%,111.54,,1.04272997087823,4.27%,30.86,,1.40527241688393,40.53%,0.17,
gs500b-5,538270,,1.00178349155628,0.18%,911.84,,1.2380663979044,23.81%,6.15,,1.00106266371895,0.11%,16.65,,1.00079513998551,0.08%,58.04,,1.00222936444535,0.22%,65.58,,1.00019506938897,0.02%,92.19,,1.00123692570643,0.12%,105.97,,1.04488769576607,4.49%,33.51,,1.39156742898545,39.16%,0.17,
gs500c-1,620041,,1.00602702079379,0.60%,911.21,,1.22022898485745,22.02%,15.75,,1.00096445235073,0.10%,16.22,,1.00052415888627,0.05%,34.35,,1.00185310326253,0.19%,49.20,,1.0041174696512,0.41%,12.51,,1.00227743004092,0.23%,63.72,,1.16249764128501,16.25%,34.82,,1.24077117480941,24.08%,0.17,
gs500c-2,620434,,1.00930961230365,0.93%,911.47,,1.21628569678644,21.63%,15.50,,1,0.00%,18.96,,1,0.00%,28.27,,1.00001450597485,0.00%,26.04,,1.00031268434676,0.03%,18.19,,1.00073110113243,0.07%,58.22,,1.16571512844235,16.57%,39.17,,1.23799630581174,23.80%,0.17,
gs500c-3,621204,,1.01352695732803,1.35%,909.90,,1.21696576325973,21.70%,16.62,,1,0.00%,18.58,,1,0.00%,33.70,,1.00029619899421,0.03%,57.78,,1.00124918706254,0.12%,24.37,,1.0021086470789,0.21%,61.88,,1.16896236984952,16.90%,34.83,,1.24988570582289,24.99%,0.17,
gs500c-4,620437,,1.01488305823154,1.49%,909.84,,1.23998407574016,24.00%,16.22,,1.00120076655648,0.12%,17.58,,1,0.00%,38.20,,1.00583782076182,0.58%,27.52,,1.00583782076182,0.58%,11.55,,1.00251612976015,0.25%,67.00,,1.17131231696369,17.13%,39.34,,1.24581061413165,24.58%,0.17,
gs500c-5,623180,,1.004894252062,0.49%,910.09,,1.20434063994352,20.43%,16.19,,1.00472576141725,0.47%,19.55,,1.00110401489136,0.11%,41.39,,1.00515420905677,0.52%,23.68,,1.00249366154241,0.25%,12.07,,1.00157771430405,0.16%,62.09,,1.16193956802208,16.19%,33.64,,1.2208848165859,22.09%,0.17,
