OPT or BUB,,,Tabu Search,,,,,Late Acceptance,,,,
Input file name,Solution cost,,Instance name,Cost,%,Time TS_G_N1_ST (+ segs G),,Instance name,Cost,%,Time TS_G_N1_ST (+ segs G),
ga250a-5 *OPT,258190,,ga250a-5__a1-2.5_l-0.01-0.05,258201,0.00%,134.15,,ga250a-5__bf-0_a1-2.5_idle-0.02_lh-1,258399,0.08%,0.10,
,258190,,ga250a-5__a1-1_l-0.01-0.05,258204,0.01%,43.02,,ga250a-5__bf-0_a1-2.5_idle-0.02_lh-10,258399,0.08%,0.08,
,258190,,ga250a-5__a1-0.5_l-0.01-0.05,258204,0.01%,22.02,,ga250a-5__bf-0_a1-2.5_idle-0.02_lh-50,258399,0.08%,0.07,
,258190,,ga250a-5__a1-0.1_l-0.01-0.05,258204,0.01%,7.24,,ga250a-5__bf-0_a1-2.5_idle-0.02_lh-250,258377,0.07%,2.62,
,258190,,ga250a-5__a1-2.5_l-0.04-0.08,258204,0.01%,128.49,,ga250a-5__bf-0_a1-2.5_idle-0.02_lh-1000,258333,0.06%,5.60,
,258190,,ga250a-5__a1-1_l-0.04-0.08,258204,0.01%,78.18,,ga250a-5__bf-0_a1-2.5_idle-0.02_lh-10000,258333,0.06%,5.78,
,258190,,ga250a-5__a1-0.5_l-0.04-0.08,258222,0.01%,28.09,,,,,,
,258190,,ga250a-5__a1-0.1_l-0.04-0.08,258267,0.03%,6.88,,ga250a-5__bf-1_a1-2.5_idle-0.02_lh-1,258399,0.08%,0.11,
,258190,,ga250a-5__a1-2.5_l-0.1-0.2,258260,0.03%,88.72,,ga250a-5__bf-1_a1-2.5_idle-0.02_lh-10,258399,0.08%,0.12,
,258190,,ga250a-5__a1-1_l-0.1-0.2,258260,0.03%,41.85,,,,,,
,258190,,ga250a-5__a1-0.5_l-0.1-0.2,258260,0.03%,23.48,,,,,,
,258190,,ga250a-5__a1-0.1_l-0.1-0.2,258260,0.03%,8.49,,,,,,
,258190,,ga250a-5__a1-2.5_l-0.01-0.08,258204,0.01%,98.41,,,,,,
,258190,,ga250a-5__a1-1_l-0.01-0.08,258204,0.01%,46.19,,,,,,
,258190,,ga250a-5__a1-0.5_l-0.01-0.08,258204,0.01%,29.98,,,,,,
,258190,,ga250a-5__a1-0.1_l-0.01-0.08,258204,0.01%,15.12,,,,,,
,,,,,,,,,,,,
avg,257917.8,,,257956.416666667,0.01%,47.04,,,258047.3,0.05%,3.41,
