,,,Input file name TS,Solution cost,Time spent,,Input file name LA,Solution cost,Time spent,,
,,,ga500b-2__bf-1_a1-2.5_l-0.01-0.05,537921,278.30,,ga500b-2__bf-0_a1-2.5_idle-0.02_lh-1,538716,3.26,,
,,,ga500b-2__bf-1_a1-2.5_l-0.04-0.08,538177,179.32,,ga500b-2__bf-1_a1-2.5_idle-0.02_lh-10,538177,1.36,,
,,,ga500b-2__bf-1_a1-2.5_l-0.01-0.08,537910,257.67,,,,,,
,,,,,,,,,,,
,,,ga500b-3__bf-0_a1-2.5_l-0.01-0.05,538048,246.80,,ga500b-3__bf-0_a1-2.5_idle-0.02_lh-0.05,539140,0.06,,
,,,ga500b-3__bf-0_a1-2.5_l-0.04-0.08,538255,244.55,,ga500b-3__bf-0_a1-2.5_idle-0.02_lh-0.1,539140,0.05,,
,,,ga500b-3__bf-0_a1-2.5_l-0.01-0.08,537924,218.10,,ga500b-3__bf-0_a1-2.5_idle-0.02_lh-0.5,538766,2.12,,
,,,ga500b-3__bf-1_a1-2.5_l-0.01-0.05,538109,201.30,,ga500b-3__bf-0_a1-2.5_idle-0.02_lh-1,538766,2.56,,
,,,ga500b-3__bf-1_a1-2.5_l-0.04-0.08,538497,200.96,,ga500b-3__bf-1_a1-2.5_idle-0.02_lh-10,538887,2.30,,
,,,ga500b-3__bf-1_a1-2.5_l-0.01-0.08,537924,243.72,,,,,,
,,,,,,,,,,,
,,,ga500b-4__bf-0_a1-2.5_l-0.01-0.05,537968,314.84,,ga500b-4__bf-0_a1-2.5_idle-0.02_lh-0.05,538287,0.45,,
,,,ga500b-4__bf-0_a1-2.5_l-0.04-0.08,538219,188.90,,ga500b-4__bf-0_a1-2.5_idle-0.02_lh-0.1,538287,0.43,,
,,,ga500b-4__bf-0_a1-2.5_l-0.01-0.08,538219,180.38,,ga500b-4__bf-0_a1-2.5_idle-0.02_lh-0.5,538205,1.97,,
,,,ga500b-4__bf-1_a1-2.5_l-0.01-0.05,537925,430.81,,ga500b-4__bf-0_a1-2.5_idle-0.02_lh-1,538287,2.15,,
,,,ga500b-4__bf-1_a1-2.5_l-0.04-0.08,538204,326.68,,ga500b-4__bf-1_a1-2.5_idle-0.02_lh-10,538287,0.89,,
,,,ga500b-4__bf-1_a1-2.5_l-0.01-0.08,538030,199.39,,,,,,
,,,,,,,,,,,
,,,ga500b-5__bf-0_a1-2.5_l-0.01-0.05,537482,437.53,,ga500b-5__bf-0_a1-2.5_idle-0.02_lh-0.05,538036,0.07,,
,,,ga500b-5__bf-0_a1-2.5_l-0.04-0.08,537889,232.74,,ga500b-5__bf-0_a1-2.5_idle-0.02_lh-0.1,538036,0.06,,
,,,ga500b-5__bf-0_a1-2.5_l-0.01-0.08,537715,349.62,,ga500b-5__bf-0_a1-2.5_idle-0.02_lh-0.5,538036,0.72,,
,,,ga500b-5__bf-1_a1-2.5_l-0.01-0.05,537548,241.35,,ga500b-5__bf-0_a1-2.5_idle-0.02_lh-1,538036,0.66,,
,,,ga500b-5__bf-1_a1-2.5_l-0.04-0.08,537849,187.25,,ga500b-5__bf-1_a1-2.5_idle-0.02_lh-10,538036,0.20,,
,,,ga500b-5__bf-1_a1-2.5_l-0.01-0.08,537648,297.46,,,,,,
,,,,,,,,,,,
,,,ga500c-1__bf-0_a1-2.5_l-0.01-0.05,621581,258.03,,ga500c-1__bf-0_a1-2.5_idle-0.02_lh-0.05,622936,0.00,,
,,,ga500c-1__bf-0_a1-2.5_l-0.04-0.08,621581,187.29,,ga500c-1__bf-0_a1-2.5_idle-0.02_lh-0.1,622936,0.00,,
,,,ga500c-1__bf-0_a1-2.5_l-0.01-0.08,621581,205.31,,ga500c-1__bf-0_a1-2.5_idle-0.02_lh-0.5,622936,0.00,,
,,,ga500c-1__bf-1_a1-2.5_l-0.01-0.05,621505,241.45,,ga500c-1__bf-0_a1-2.5_idle-0.02_lh-1,622936,0.00,,
,,,ga500c-1__bf-1_a1-2.5_l-0.04-0.08,621581,187.72,,ga500c-1__bf-1_a1-2.5_idle-0.02_lh-10,622936,0.00,,
,,,ga500c-1__bf-1_a1-2.5_l-0.01-0.08,621581,203.20,,,,,,
,,,,,,,,,,,
