file_name,best_sol,min_cost,avg_cost,max_cost,sd_cost,avg_time,sd_time
D1.7,7,13844.0,14056.1,14270.0,126.77578633161775,0.07928199999999999,0.01917182759502425
D1.8,1,13350.0,13501.1,13805.0,205.8075962316908,0.09831799999999999,0.04936510076292089
D1.9,9,14055.0,14240.9,14592.0,188.72581522762943,0.071047,0.015472553513309374
D1.10,1,14636.0,14754.2,14989.0,108.90954452612907,0.082371,0.030856242102152796
D2.1,4,18330.0,18630.7,18985.0,265.7329695598781,0.07362699999999998,0.020525911023224604
D2.2,2,19208.0,19429.1,19714.0,203.9904409525113,0.070061,0.01872986946030324
D2.3,9,19590.0,19993.4,20491.0,373.36047520384966,0.055935,0.011156511053590584
D2.4,1,18901.0,18979.8,19321.0,136.4109803335331,0.056752000000000004,0.011096405624245076
D2.5,1,19443.0,19778.2,20445.0,333.23992024432556,0.065407,0.016696243789148104
D2.6,3,19891.0,20221.0,20741.0,275.162174403064,0.06473,0.01231958783581839
D2.7,5,19253.0,19333.2,19706.0,142.38195890709687,0.056711,0.00870218676221353
D2.8,3,19376.0,19596.3,19874.0,222.2726303938976,0.06016400000000001,0.02280627262643133
D2.9,2,18245.0,18258.3,18316.0,28.118993185705953,0.057224,0.01672508442097943
D2.10,5,18759.0,18878.7,19034.0,113.79616279412353,0.061360000000000005,0.021198959093942957
D3.1,3,23729.0,24010.9,24831.0,307.2412913511319,0.057714,0.018107209859304356
D3.2,1,23915.0,23981.8,24273.0,141.28049326703874,0.045825,0.006051352924943498
D3.3,2,23477.0,23785.1,24576.0,496.9581806684878,0.065599,0.018939493393435845
D3.4,1,22636.0,22718.1,22796.0,69.23943962800392,0.068697,0.029006469795547333
D3.5,2,23571.0,24141.4,24612.0,411.4330511219967,0.055766,0.019451254858120482
D3.6,4,22937.0,23208.4,23643.0,171.87346766993699,0.085012,0.03145974916902196
D3.7,1,23019.0,23100.3,23679.0,208.94233654288448,0.07187,0.01741368491222413
D3.8,1,23385.0,23809.8,24845.0,610.0946738917748,0.12531600000000004,0.14992350843754365
D3.9,7,24331.0,24646.4,24980.0,179.79321455494366,0.054880000000000005,0.011411226441048698
D3.10,1,22341.0,22460.6,23327.0,306.20515998264955,0.065426,0.027248610647558204
D4.1,2,27412.0,27415.4,27431.0,7.229568912920511,0.067806,0.01866649654684385
D4.2,2,26652.0,27019.8,27265.0,316.55183883001956,0.04565899999999999,0.015549268257166744
D4.3,3,27313.0,27477.7,28284.0,321.3381915262071,0.055437,0.013160524347878812
D4.4,1,28150.0,28294.7,28638.0,194.60903827360585,0.054779,0.023259211054738917
D4.5,1,26014.0,26014.0,26014.0,0.0,0.042037000000000005,0.005921621493401205
D4.6,1,26576.0,26577.4,26590.0,4.427188724235731,0.058094999999999994,0.022739753858728454
D4.7,2,25724.0,25788.2,26292.0,177.68436434681956,0.046664,0.01000832231473165
D4.8,6,27658.0,27868.3,28024.0,177.2142770772152,0.04989300000000001,0.016578226717930696
D4.9,1,26151.0,26151.0,26151.0,0.0,0.041765,0.008666343904246282
D4.10,1,25261.0,25319.8,25555.0,123.96128427860047,0.046729,0.010906548950057483
D5.1,2,30338.0,30499.6,30543.0,85.49879791227737,0.104266,0.025404321679588303
D5.2,1,30428.0,30513.5,30923.0,150.67348804617222,0.08485499999999999,0.02157516846850667
D5.3,3,30082.0,30218.5,30355.0,143.88363353766127,0.05549399999999999,0.01672515683367756
D5.4,2,29505.0,29729.4,29879.0,193.13276953087654,0.044043000000000006,0.007816186978884837
D5.5,2,30518.0,30605.2,30736.0,112.57471592976225,0.054537999999999996,0.01665459349382159
D5.6,4,27784.0,28126.0,28468.0,360.49965325919527,0.043972,0.015049561676895
D5.7,4,30674.0,30890.0,31368.0,256.36172361203484,0.047744,0.007640254795053196
D5.8,1,29708.0,29759.0,30218.0,161.27616066858735,0.049461,0.015624187409981428
D5.9,1,30147.0,30149.1,30168.0,6.640783086353596,0.049333999999999996,0.01354056391407356
D5.10,3,29233.0,29831.5,29898.0,210.29146440119723,0.041001,0.01630585133557208
D6.1,1,31823.0,31823.0,31823.0,0.0,0.038979,0.01092124072113095
D6.2,1,33520.0,33520.0,33520.0,0.0,0.037739,0.014525238150658093
D6.3,1,32119.0,32119.0,32119.0,0.0,0.053420999999999996,0.02422860543058785
D6.4,1,32896.0,33213.0,33525.0,287.064065633053,0.073539,0.030678326931782532
D6.5,3,32999.0,33745.1,33828.0,262.1528180279587,0.05282099999999999,0.011957092223632152
D6.6,1,33502.0,33502.0,33502.0,0.0,0.061246,0.015466436205179552
D6.7,1,32222.0,32317.3,33175.0,301.36506101404655,0.071382,0.06448098544876966
D6.8,2,33449.0,33470.0,33481.0,14.757295747452437,0.05433000000000001,0.014207253233628396
D6.9,2,33086.0,33119.0,33152.0,34.785054261852174,0.045388,0.006745923542736342
D6.10,2,34633.0,34761.4,35061.0,206.74364157896932,0.056344000000000005,0.011848145846502735
D7.1,8,34183.0,34838.2,35002.0,345.32072049038703,0.048201999999999995,0.011224876935727279
D7.2,1,35534.0,35534.0,35534.0,0.0,0.051613000000000006,0.005984652686478787
D7.3,3,34937.0,35720.0,36503.0,825.354469303947,0.032451999999999995,0.00845075249772337
D7.4,1,36580.0,37196.5,37647.0,345.84879483509684,0.04356,0.012865879941405743
D7.5,1,32942.0,32942.0,32942.0,0.0,0.046057,0.0229670193731988
D7.6,1,36235.0,36235.0,36235.0,0.0,0.029353,0.004283793879261698
D7.7,3,35007.0,35542.5,35772.0,369.5301070278307,0.034388999999999996,0.005877630758505789
D7.8,1,33132.0,33132.0,33132.0,0.0,0.02592,0.0029904366087765695
D7.9,2,34966.0,35085.9,35821.0,280.0001785713717,0.046456,0.019723777641325314
D7.10,2,34227.0,34259.7,34336.0,52.65200217782162,0.028129000000000005,0.005230940960604825
D8.1,1,36710.0,36710.0,36710.0,0.0,0.053646000000000006,0.013926254342069155
D8.2,1,37050.0,37050.0,37050.0,0.0,0.038169,0.017308226335730908
D8.3,4,37384.0,37880.0,38004.0,261.41495324058604,0.039914,0.00838994133206875
D8.4,1,36968.0,36968.0,36968.0,0.0,0.030788000000000003,0.019962685078805296
D8.5,1,38294.0,38464.7,40001.0,539.8007965907422,0.032324000000000006,0.0043819838226792016
D8.6,1,37606.0,37853.2,38224.0,319.13382772749117,0.08945,0.08977405948020595
D8.7,6,37361.0,37840.5,37920.0,171.01088334437145,0.036587,0.0050865925071046664
D8.8,1,36208.0,36208.0,36208.0,0.0,0.043658,0.01660877800040288
D8.9,1,37446.0,37617.6,38304.0,361.7645643232626,0.062764,0.02496237132610246
D8.10,1,37043.0,37043.0,37043.0,0.0,0.089008,0.03651027490081844
D9.1,1,40917.0,40917.0,40917.0,0.0,0.047799999999999995,0.03611388314146729
D9.2,1,38258.0,38284.2,38520.0,82.85167469641154,0.052799000000000006,0.027529186309967264
D9.3,2,39293.0,39738.6,41521.0,939.4072835806865,0.06077299999999999,0.023427296543419886
D9.4,1,39939.0,39939.0,39939.0,0.0,0.069732,0.03635707780703321
D9.5,1,39360.0,39364.9,39409.0,15.49516053482506,0.033945,0.01066558249698534
