file_name,best_sol,min_cost,avg_cost,max_cost,sd_cost,avg_time,sd_time
ga750a-1,9,763750.0,763870.8,764115.0,125.21874194118598,844.096276,186.59689970911066
ga750a-2,8,763826.0,763917.7,763998.0,56.30285171384405,995.9431790000001,211.01570997777583
ga750a-3,10,764001.0,764139.4,764273.0,103.92112393541555,829.6410970000001,234.57326437524324
ga750a-4,4,764111.0,764316.0,764623.0,142.94832010982927,809.033754,273.71145045478977
ga750a-5,5,764068.0,764258.0,764446.0,133.01712504619678,929.1988709999999,235.5807170574165
ga750b-1,8,796749.0,797242.4,798163.0,411.702211690818,291.20671000000004,110.10426888363502
ga750b-2,2,796147.0,796801.5,797755.0,478.2663716196469,255.05182999999997,78.56536922509504
ga750b-3,4,796578.0,796896.0,797370.0,223.03661881703044,240.372405,82.41518574975424
ga750b-4,4,797476.0,797812.4,798334.0,262.28025723133135,302.897328,70.08292534818287
ga750b-5,2,796706.0,797039.6,797574.0,266.92662329228654,397.14747300000005,95.9136840962477
ga750c-1,6,902496.0,903602.2,905241.0,808.3207284240581,94.46530800000001,23.056874792793387
ga750c-2,7,899785.0,900737.5,902677.0,1061.0707642125792,142.564394,30.917492033063382
ga750c-3,4,900022.0,900553.6,901402.0,459.04882335348844,105.99500800000001,63.092871555767125
ga750c-4,9,900073.0,901333.0,903034.0,946.7028162112027,130.764423,53.53154198865979
ga750c-5,8,899951.0,900675.2,901863.0,597.5021710792728,146.55337400000002,56.9064046918328
gs250a-1,3,258057.0,258169.1,258295.0,76.98838296204897,17.156,4.181347460600072
gs250a-2,7,257611.0,257702.2,257761.0,53.04672992330023,15.222244000000003,4.536336668267812
gs250a-3,8,257698.0,257792.6,257878.0,57.87764872748566,16.523401,8.222910405398443
gs250a-4,1,258053.0,258108.6,258184.0,42.02433157641469,20.665485,8.033225951889856
gs250a-5,6,258000.0,258130.3,258300.0,95.47314922124556,19.624721,10.09943657569784
gs250b-1,10,276954.0,277269.0,277751.0,251.45620338783098,6.422359999999999,1.267381344917324
gs250b-2,3,275689.0,276250.7,276595.0,285.4980249007376,5.989846,1.8803777130093366
gs250b-3,5,275791.0,276049.4,276434.0,239.75413332087615,6.408913000000001,1.6910945948773337
gs250b-4,1,276114.0,276253.8,276660.0,178.5713676190372,6.2861530000000005,2.3353089604116386
gs250b-5,9,276329.0,276554.6,277233.0,266.9590896664797,6.061705,1.7533027157925567
gs250c-1,4,333046.0,333249.9,333568.0,174.30079364898677,1.957278,0.5841155411351042
gs250c-2,4,334854.0,335254.5,335985.0,422.69748836096323,3.764436,1.3638698687207826
gs250c-3,5,333645.0,334293.5,334984.0,494.4728393844184,2.690957,0.5427656021617435
gs250c-4,4,333913.0,335224.8,336078.0,794.2698673764618,2.8293179999999998,1.1231130481716136
gs250c-5,6,334910.0,335599.1,336776.0,649.1432730059589,2.452041,0.8393915064490997
gs500a-1,10,511346.0,511480.3,511665.0,78.92619618633883,236.197794,94.87720630955353
gs500a-2,7,511414.0,511540.9,511698.0,82.33191631709082,218.37006100000002,81.04271241310357
gs500a-3,2,511328.0,511439.7,511609.0,95.52899501663822,191.564252,33.1495106099089
gs500a-4,9,511328.0,511450.4,511637.0,88.86469115083523,213.648474,111.53336376947733
gs500a-5,10,511507.0,511630.3,511773.0,91.25793724992424,191.63454599999997,65.69929140282416
gs500b-1,6,538031.0,538876.8,539478.0,475.45716012182544,64.122651,33.936733078665156
gs500b-2,1,537976.0,538537.3,538887.0,267.08635723717197,79.93668699999998,44.6871515449829
gs500b-3,6,538342.0,538685.8,539343.0,318.4562764336731,84.705801,26.647780130382117
gs500b-4,7,538021.0,538558.3,539505.0,498.9001347408562,80.67666200000001,32.243360054339455
gs500b-5,2,538666.0,538935.8,539647.0,323.590207240921,72.452467,28.960645853225657
gs500c-1,8,620200.0,621453.1,624088.0,1081.4180453871152,28.896515,10.030498958678477
gs500c-2,7,620591.0,620887.6,621578.0,371.2355346976125,19.047234000000003,8.247119547179555
gs500c-3,5,621591.0,622513.9,623198.0,603.4873560306702,27.051049999999996,7.24503784392846
gs500c-4,4,621082.0,621998.1,623313.0,1018.2621851850229,27.654956,10.899757212133164
gs500c-5,10,623596.0,624163.2,624740.0,421.36993511903796,28.459266000000003,13.609990296576015
gs750a-1,6,763974.0,764084.9,764182.0,69.36930156776843,903.316166,246.19731633115566
gs750a-2,3,763736.0,763846.5,764046.0,90.97771399878349,870.9491080000001,276.93462179760104
gs750a-3,4,763914.0,764086.7,764225.0,91.7412423916068,759.435838,204.41207357351593
gs750a-4,8,764082.0,764286.6,764462.0,117.00731221214814,906.9418520000002,306.27306936602844
gs750a-5,4,763800.0,763926.6,764025.0,67.80396579683062,912.3756289999999,202.13755199047168
gs750b-1,3,797320.0,798019.6,798443.0,359.83891457768215,271.013565,84.06187089889713
gs750b-2,7,796767.0,797259.0,797951.0,410.54408343616944,316.91143800000003,128.89830870585652
gs750b-3,5,796778.0,797392.3,798010.0,414.92892296285055,293.97639300000003,127.22850299310414
gs750b-4,1,797283.0,797634.3,798315.0,317.3655620888946,343.102925,146.35755421483697
gs750b-5,1,796486.0,797402.9,799028.0,678.4822031564277,299.979146,101.0892438395707
gs750c-1,1,900662.0,901721.3,903312.0,886.0533028862064,111.113205,74.47916422630594
gs750c-2,9,898012.0,899172.3,902857.0,1653.0056832597065,139.11234199999998,54.55832191091104
gs750c-3,4,901317.0,903123.2,904788.0,1009.6069422194846,104.54350599999998,57.91990969150959
gs750c-4,4,901339.0,902837.3,903951.0,982.2785359673813,115.447983,38.29304129734367
gs750c-5,3,900657.0,901734.3,902892.0,892.9475597393414,117.741867,43.62288159813228
